ticket,fare
C.A. 6212,15.1
C.A./SOTON 34068,10.5
CA 2144,46.9
CA 31352,21
CA. 2314,7.55
CA. 2343,69.55
F.C. 12750,52
F.C. 12998,25.7417
F.C.C. 13528,21
F.C.C. 13529,26.25
F.C.C. 13531,10.5
F.C.C. 13534,21
F.C.C. 13540,10.5
Fa 265302,7.3125
LINE,0
LP 1588,7.575
P/PP 3381,24
PC 17318,25.925
PC 17473,26.2875
PC 17474,26.3875
PC 17475,26.2875
PC 17476,26.2875
PC 17477,69.3
PC 17482,49.5042
PC 17483,221.7792
PC 17485,56.9292
PC 17531,31.6792
PC 17558,247.5208
PC 17562,27.7208
PC 17569,146.5208
PC 17572,76.7292
PC 17580,29.7
PC 17582,153.4625
PC 17585,79.2
PC 17590,50.4958
PC 17591,50.4958
PC 17592,39.4
PC 17593,79.2
PC 17594,29.7
PC 17595,28.7125
PC 17596,29.7
PC 17597,61.3792
PC 17598,31.6833
PC 17599,71.2833
PC 17600,30.6958
PC 17601,27.7208
PC 17603,59.4
PC 17604,82.1708
PC 17605,27.7208
PC 17606,27.4458
PC 17607,39.6
PC 17608,262.375
PC 17609,49.5042
PC 17610,27.7208
PC 17611,133.65
PC 17612,27.7208
PC 17613,27.7208
PC 17754,34.6542
PC 17755,512.3292
PC 17756,83.1583
PC 17757,227.525
PC 17758,108.9
PC 17759,63.3583
PC 17760,135.6333
PC 17761,106.425
PP 4348,9.35
PP 9549,16.7
S.C./A.4. 23567,8.05
S.C./PARIS 2079,37.0042
S.O./P.P. 2,21
S.O./P.P. 251,7.55
S.O./P.P. 3,10.5
S.O./P.P. 751,7.55
S.O./P.P. 752,7.55
S.O.C. 14879,73.5
S.O.P. 1166,12.525
S.P. 3464,8.1583
S.W./PP 752,10.5
SC 14888,10.5
SC 1748,12
SC/A.3 2861,15.5792
SC/A4 23568,8.05
SC/AH 29037,26
SC/AH 3085,26
SC/AH Basle 541,13.7917
SC/Paris 2123,41.5792
SC/PARIS 2131,15.05
SC/PARIS 2133,15.0458
SC/PARIS 2146,13.8625
SC/PARIS 2147,13.8583
SC/PARIS 2148,13.8583
SC/PARIS 2149,13.8583
SC/PARIS 2159,12.875
SC/Paris 2163,12.875
SC/PARIS 2166,13.8625
SC/PARIS 2167,27.7208
SC/PARIS 2168,15.0333
SCO/W 1585,12.275
SO/C 14885,10.5
SOTON/O.Q. 3101262,7.25
SOTON/O.Q. 3101263,7.85
SOTON/O.Q. 3101305,7.05
SOTON/O.Q. 3101306,7.05
SOTON/O.Q. 3101307,7.05
SOTON/O.Q. 3101308,7.05
SOTON/O.Q. 3101309,7.05
SOTON/O.Q. 3101310,7.05
SOTON/O.Q. 3101311,7.05
SOTON/O.Q. 3101312,7.05
SOTON/O.Q. 3101314,7.25
SOTON/O.Q. 3101315,13.775
SOTON/O.Q. 392078,8.05
SOTON/O.Q. 392087,8.05
SOTON/O2 3101272,7.125
SOTON/O2 3101284,7.925
SOTON/O2 3101287,7.925
SOTON/OQ 3101316,8.05
SOTON/OQ 3101317,7.25
SOTON/OQ 392076,7.05
SOTON/OQ 392082,8.05
SOTON/OQ 392083,8.05
SOTON/OQ 392086,8.05
SOTON/OQ 392089,8.05
SOTON/OQ 392090,8.05
STON/O 2. 3101268,7.925
STON/O 2. 3101269,7.925
STON/O 2. 3101273,7.125
STON/O 2. 3101274,7.125
STON/O 2. 3101275,7.125
STON/O 2. 3101280,7.925
STON/O 2. 3101285,7.925
STON/O 2. 3101286,7.925
STON/O 2. 3101288,7.925
STON/O 2. 3101289,7.925
STON/O 2. 3101291,7.925
STON/O 2. 3101292,7.925
STON/O 2. 3101293,7.925
STON/O 2. 3101294,7.925
STON/O2. 3101270,7.925
STON/O2. 3101271,7.925
STON/O2. 3101279,15.85
STON/O2. 3101282,7.925
STON/O2. 3101283,7.925
STON/O2. 3101290,7.925
STON/OQ. 369943,8.05
SW/PP 751,10.5
W./C. 14258,10.5
W./C. 14260,10.5
W./C. 14263,10.5
W./C. 14266,10.5
W./C. 6607,23.45
W./C. 6608,34.375
W./C. 6609,7.55
W.E.P. 5734,61.175
W/C 14208,10.5
WE/P 5735,71
